id,title,type,description,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
ts35492,Nisekoi,SHOW,"Nisekoi follows high school students Raku Ichijo, the son of a leader in the yakuza faction Shuei-Gumi, and Chitoge Kirisaki, the daughter of a boss in a rival gang known as Beehive. They unexpectedly meet when Chitoge hops a wall and knees Raku in the face. After she runs off, Raku realizes he has lost his locket which was given to him by his childhood sweetheart with whom he made a secret promise. After discovering Chitoge is a new transfer student in his class, he forces her to help him look for the locket. During the search, they begin to dislike each other.[8]

Upon returning home, Raku learns that the Shuei-Gumi and Beehive gangs have agreed to settle their feud by pairing their leaders' children. Raku learns that his girlfriend-to-be is none other than Chitoge. For the next three years, they must pretend to be in a relationship to maintain peace between the gangs. This turns out to be quite a challenging task, not only because of their hatred for one another, but also because Raku has a crush on another schoolmate, Kosaki Onodera, whom he secretly wishes was the girl who bears the key to his locket. Various developments complicate the situation, including Chitoge's over-protective bodyguard, a female hitman, a girl who claims to be Raku's fiancée, and the existence of multiple keys.",2014,TV-14,24,"['comedy', 'animation', 'romance']",['JP'],2.0,tt3115338,7.4,3307.0,18.089,8.5
ts224178,The Garden of Sinners,SHOW,"After lying in a coma for two years, Shiki Ryougi awakens with amnesia. Inexplicably, she finds that she has also obtained the “Mystic Eyes of Death Perception” in which she can see the invisible lines of mortality that hold every living and non-living thing together. In this modern occult-action thriller, Shiki must tackle supernatural incidents while searching for her purpose for living.",2013,TV-PG,55,"['crime', 'animation']",['JP'],1.0,,,,13.767,8.0
ts33718,Free!,SHOW,"The story revolves around Haruka Nanase, a boy who has always loved to be immersed in water, and to swim in it. Before graduating from elementary school, he participated in a swimming tournament along with his fellow swimming club members, Makoto Tachibana, Nagisa Hazuki, and Rin Matsuoka. After achieving victory, each of the boys went their separate ways. Time passed, and in the middle of their uneventful high school lives Rin appears and challenges Haruka to a match, showing Haruka his overwhelming power. Not wanting it to end like this, Haruka, gathers together Makoto and Nagisa once again and brings a new member named Rei Ryugazaki to create the Iwatobi High School Swimming Club in order to defeat Rin.",2013,TV-14,23,"['animation', 'comedy', 'drama', 'sport']",['JP'],3.0,tt2904418,7.4,3013.0,21.148,8.5
ts32818,Maoyu: Archenemy & Hero,SHOW,"The story is set in a world embroiled by war between Humans and Demons. The Humans’ greatest hero invades the Demon Queen’s castle determined to vanquish her. However, instead of fighting back, the Queen proposes an alliance with the Hero. She explains how a sudden end to the war can bring further chaos to the world as the Humans once united to stand against their common enemies would eventually begin fighting among themselves, with similar issues already occurring at the Demon Realm. Convinced by her words, the Hero joins forces with the Queen and together they execute a plan to bring prosperity and a lasting peace to both Humans and Demons alike.",2013,TV-14,23,"['scifi', 'fantasy', 'romance', 'animation']",['JP'],1.0,tt2552230,7.0,599.0,8.499,8.0
ts20201,World Trigger,SHOW,"A gate to another dimension has burst open, and from it emerge gigantic invincible creatures that threaten all of humanity. Earth's only defense is a mysterious group of warriors who have co-opted the alien technology in order to fight back!",2014,TV-14,23,"['action', 'scifi', 'animation']",['JP'],3.0,tt3950102,7.5,809.0,20.39,7.8
ts20709,Yowamushi Pedal,SHOW,"Sakamichi Onada is a wimpy high school freshman who loves anime. He initially wants to enter the anime club, but winds up joining the cycling club after meeting two classmates who are already famous cyclists. He undertakes the grueling training to compete in races, and discovers his own hidden talent in cycling.",2013,TV-14,24,"['comedy', 'drama', 'sport', 'animation']",['JP'],4.0,tt2942228,7.7,808.0,44.311,7.4
ts20240,Strike the Blood,SHOW,"Kojou Akatsuki's days as an ordinary high school student in the Demon District of Itogami Island come to an abrupt end after a fateful encounter leaves him with the remarkable abilities of a vampire.  It isn't long before he is thrust into the center of attention when it is discovered that he is the fourth primogenitor, an immensely powerful vampire whom most consider to be merely a legend. Fearing Kojou's destructive potential, the Lion King Organization sends in an apprentice sword-shaman, Yukina Himeragi, to monitor, and should he become a threat, kill the boy deemed the world's most powerful vampire. Forced together by circumstance, the two form an unlikely alliance as Kojou comes to terms with his abilities and they both struggle to protect the city from various emerging chaotic forces.",2013,TV-MA,24,"['scifi', 'comedy', 'fantasy', 'horror', 'romance', 'animation', 'action']",['JP'],5.0,tt2789238,7.0,1617.0,34.211,7.4
ts33317,Gargantia on the Verdurous Planet,SHOW,"While fighting an intense inter-galactic war, a mecha pilot is accidentally warped into a space-time neither he nor his computer recognize. After waking up from a long-time hibernation, he finds himself trapped on a planet, with human residents talking in an unknown form of language, using inferior technologies, and - most shocking to him - naturally breathable air.",2013,TV-14,23,"['scifi', 'animation', 'drama', 'romance']",['JP'],2.0,tt2632044,7.3,1635.0,15.993,7.4
ts44298,Non Non Biyori,SHOW,"Elementary school student Ichijou Hotaru has moved with her parents from Tokyo to the middle of the country. Now she must adapt to her new school, where there are a total of 5 students in the same class who range through elementary and middle school ages. Join their everyday adventures in the countryside.",2013,TV-PG,23,"['animation', 'drama', 'comedy']",['JP'],3.0,tt3114358,7.8,977.0,16.707,7.5
ts20226,The Fruit of Grisaia,SHOW,"Mihama Academy—on the surface, a closed learning environment established to nurture students who find themselves at odds with the world around them; in actuality, an orchard-cum-prison built to preserve fruit that has fallen too far from its tree. Yet with the arrival of the institute's first male student, the nearly preposterously opaque Kazami Yuuji, the students at Mihama begin to fall out of step with their predetermined rhythms. Will Yuuji prove to be the element the girls around him needed to take hold of their lives once more, or will the weight of their pasts prove too steep a wall to overcome?",2014,TV-MA,24,"['animation', 'drama', 'thriller', 'romance']",['JP'],3.0,tt3909210,7.1,899.0,25.865,7.2
