webtoon_id,title,genre,thumbnail,summary,episodes,Created by,view,subscribe,grade,released_date,url,cover,likes,Written by,Art by,Adapted by,Original work by,Assisted by
2234,Skye,Fantasy,https://webtoon-phinf.pstatic.net/20211113_151/1636740873390GOW71_PNG/8Skye_desktop_landingpage_fg.png,"In a world where magic meets technology, an exceptional engineer comes across an unusual find. What was meant to be a simple trip to the junkyard has lead Skye to discovering a fully functioning robot! But while trying to help the robot find her original owner; secrets begin to unravel and Skye learns the truth behind her clouded past.",50,Cynthia J.S.,3.7M,"188,917",9.64,"Sep 28, 2020",https://www.webtoons.com/en/fantasy/skye/list?title_no=2234,https://webtoon-phinf.pstatic.net/20211113_19/1636740535724BDztx_JPEG/0Skye_desktop_thumbnail.jpg?type=a210,"564,009",,,,,
2851,Neolithic Girl,Fantasy,https://webtoon-phinf.pstatic.net/20210612_51/1623448130376DTbGm_PNG/6NeolithicGirl_desktop_landingpage_FG.png,"What would you do if you could live forever? Suki Kang has lived for over 10,000 years, yet always seems to make the same mistake -- she wants to save others from certain death. This time, she chooses to help veterinarian Jaeshin Lee with his terminal cancer prognosis. But the great clans of Baekje are dead set on finding out the secret to her immortality and healing powers. Will she be able to save her beloved doctor, or will the clans get to her first?",48,,4.9M,"264,079",9.35,"Jun 28, 2021",https://www.webtoons.com/en/fantasy/neolithic-girl/list?title_no=2851,https://webtoon-phinf.pstatic.net/20210612_118/1623448087713CFiEL_JPEG/5NeolithicGirl_desktop_thumbnail.jpg?type=a210,"656,610",JAEAH,GARAM HAN,,,
2883,Atelier on the Sunflower Hill,Fantasy,https://webtoon-phinf.pstatic.net/20211106_123/1636147680436HdYsT_PNG/0Atelier+on+the+Sunflower+Hill_Launch_desktop_landingpage_FG.png,"After discovering a hidden chamber inside her late uncle's house, Evangeline Griffon unintentionally awakens an ancient being who calls himself Vernon. Bound by a mysterious contract, Eva apprehensively accepts Vernon as her guardian and begins her new life in the countryside.",27,Roctis Tray,1.6M,"159,901",9.28,"Nov 12, 2021",https://www.webtoons.com/en/fantasy/atelier-on-the-sunflower-hill/list?title_no=2883,https://webtoon-phinf.pstatic.net/20211106_120/1636147614190alhUP_JPEG/3Atelier+on+the+Sunflower+Hill_Launch_desktop_thumbnail.jpg?type=a210,"210,991",,,,,
3263,Prince Maker,Fantasy,https://webtoon-phinf.pstatic.net/20210916_56/1631726617114J9ygI_PNG/2PrinceMaker_desktop_landingpage_FG.png,"A princess trapped in a tower, guarded by a dragon, awaiting rescue by Prince Charming. Sound familiar? But what if the rescue doesn’t arrive in time? After ten years of waiting, Princess Elina is finally saved at the age of 28 by Prince Louis. Sure, he’s from a faraway kingdom that Elina’s never heard of and has a few weird personality quirks, but at least she’s not alone anymore! That is, until a jealous witch curses him and turns him into a five-year-old child…",36,Suosu,2.3M,"130,628",9.63,"Sep 15, 2021",https://www.webtoons.com/en/fantasy/prince-maker/list?title_no=3263,https://webtoon-phinf.pstatic.net/20210916_140/1631726442155Ng4Hp_JPEG/3PrinceMaker_desktop_thumbnail.jpg?type=a210,"344,192",,,,,
3384,Protect the Knight,Fantasy,https://webtoon-phinf.pstatic.net/20210908_84/1631076276212m8nVc_PNG/8ProtectTheKnight_desktop_landingpage_FG.png,"Ye-eun is a young high schooler who fantasizes about one day having the perfect first kiss with her crush. A practice kiss on her sister’s action figure, Bryk, turns her world upside down when it magically brings him to life. Bryk, a once-legendary and most definitely human knight, finds himself perplexed as to how he woke up as an action figure. Though he sets out to find the witch who he suspects is to blame, he quickly gets caught up in Ye-eun’s attempts to keep her sister happy and her crush interested. Bryk and Ye-eun vow to figure out what turned him into a doll and how to return him to his world as a human man. That is, of course, if he doesn’t get broken, eaten, or stolen first.",35,Dalbong,1.9M,"122,572",9.68,"Sep 16, 2021",https://www.webtoons.com/en/fantasy/protect-the-knight/list?title_no=3384,https://webtoon-phinf.pstatic.net/20210908_137/1631076226597rACPm_JPEG/7ProtectTheKnight_desktop_thumbnail.jpg?type=a210,"288,362",,,,,
4116,GANDA: Night Defender,Action,https://webtoon-phinf.pstatic.net/20220426_212/1650933545501Aa00J_PNG/6GANDA_landingpage_desktop_fg.png,"The cheerful but clumsy college student Rika encounters constant misfortune in her normal life. When a missing report forces her to break the school’s rule against setting foot on campus after 9 pm, things take a turn for the worse. She soon finds herself under attack by an evil spirit known as a Djinn! Fortunately, Ganda, The Night Defender, comes to her rescue. To show her gratitude, she decides to be a Night Defender’s assistant. But does she have what it takes?",5,,"96,698","37,263",9.71,"Apr 25, 2022",https://www.webtoons.com/en/action/ganda-night-defender/list?title_no=4116,https://webtoon-phinf.pstatic.net/20220426_30/1650933570447Xlc3L_JPEG/4GANDA_thumbnail_desktop.jpg?type=a210,"13,119",Nikki Dibya Wardhana,Linka08,,,
2881,Cydonia Shattering,Fantasy,https://webtoon-phinf.pstatic.net/20220205_273/1644020049653JHuYA_PNG/3CydoniaShattering_landingpage_desktop_fg.png,"After learning that she is cursed with magical abilities, Cydonia is cast out by her people. But when King Maelkyr starts wiping out entire villages using an ancient, magical monstrosity, she vows to use her curse to stop him from destroying her cherished way of life.",15,,"634,050","85,118",8.69,"Feb 7, 2022",https://www.webtoons.com/en/fantasy/cydonia-shattering/list?title_no=2881,https://webtoon-phinf.pstatic.net/20220205_274/1644019997315CaNUj_JPEG/0CydoniaShattering_thumbnail_desktop.jpg?type=a210,"81,126",Tony Karnowski,Cocoon Production,,,
3346,"Good Luck, Hero!",Fantasy,https://webtoon-phinf.pstatic.net/20210908_228/16310759976170U6lN_PNG/8GoodLuckHero21_desktop_landingpage_FG.png,"After a great hero sacrifices himself to defeat the nefarious Demon Lord, an angel grants his wish to be reborn with his memories intact. Now known as Hero Baek, he puts his memories to use and writes a web novel depicting the story of his past life. In time, he lands a job at an entertainment company, working for the genius and intimidating CEO, Yeonhwa Do. Unbeknownst to Hero, his new boss is none other than the reincarnation of the Demon Lord. When his web novel catches her attention, the two mortal enemies appear destined to collide once again.",35,Song Hyunju,1.6M,"94,473",9.51,"Sep 16, 2021",https://www.webtoons.com/en/fantasy/good-luck-hero/list?title_no=3346,https://webtoon-phinf.pstatic.net/20210908_273/1631075896585OmmRV_JPEG/0GoodLuckHero21_desktop_thumbnail.jpg?type=a210,"206,053",,,,,
1554,Unlucky is as Lucky does,Comedy,https://webtoon-phinf.pstatic.net/20191217_231/1576529761695bLmGE_PNG/03_EC9E91ED9288EC8381EC84B8_PC_ECBA90EBA6ADED84B0.png,"An enemy from afar has threatened to kidnap the king’s daughter. The king springs into action seeking the most elite members of his kingdom to protect her. Sounds like your average everyday fantasy tale. Except that it isn’t… The king is overprotective, the queen can barely tolerate the king, the princess-in-distress is only 7 years old but is strong enough to beat up anyone in the kingdom, and the man or woman who must protect her?  He doesn’t have to be the strongest or the smartest…just the LUCKIEST person who ever lived. So yeah, what this tale lacks in tradition, it makes up for in sheer over-the-top lunacy!",211,M. Nires,24.1M,"252,022",9.66,"Mar 5, 2019",https://www.webtoons.com/en/comedy/unlucky-is-as-lucky-does/list?title_no=1554,https://webtoon-phinf.pstatic.net/20210329_69/1617003149521dUwkf_JPEG/5Unlucky-is-as-Lucky-does_ipad.jpg?type=a210,3.2M,,,,,
4153,Best Teacher Baek,Action,https://webtoon-phinf.pstatic.net/20220427_91/16510087638484K6zW_PNG/5BestTeacherBaek_landingpage_desktop_fg.png,"Once the finest instructor in the Blood Cult, Suryong Baek is killed, only to to wake up in the body of someone who teaches martial arts at a small rural academy. His new body may be weak, but he knows how to fix it, and it’s not the first time that he’s found himself in a body that can’t access its inner power. Curing his body requires money, however, and Suryong decides that becoming the greatest instructor at a top academy is the best way to do it. Since he’ll be up against tough competition, Suryong will have to use everything he’s got to become a teaching superstar.",3,,"89,336","15,368",9.95,"May 4, 2022",https://www.webtoons.com/en/action/best-teacher-baek/list?title_no=4153,https://webtoon-phinf.pstatic.net/20220427_61/1651008724715cEWkG_JPEG/2BestTeacherBaek_thumbnail_desktop.jpg?type=a210,"4,447",,ORIBORI,S.J LEE,Ganjjajang,
1704,Zero Game,Fantasy,https://webtoon-phinf.pstatic.net/20210209_165/1612838232798UhYLL_PNG/9ZeroGame_desktop_landingpage_FG.png,"After the death of her parents, Hanna Yoo sees her life tumble out of control, until one day a mysterious email invites her to compete in Zero Game, where losing means death, but winning brings a big reward: the ability to reset your entire life and live it over again…this time without all the pain and suffering. In Zero Game, Hanna faces danger everywhere. But who can she trust? And how is her deceased father involved? Rivals beware: she may seem like a noob…but inside Zero Game, you underestimate Hanna Yoo at your own risk.",140,zelbasen,23.3M,"523,109",9.72,"Sep 16, 2019",https://www.webtoons.com/en/fantasy/zero-game/list?title_no=1704,https://webtoon-phinf.pstatic.net/20210209_25/16128381392481gSG6_JPEG/2ZeroGame_desktop_thumbnail.jpg?type=a210,2.5M,,,,,
