id,title,type,description,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
tm1035374,Fathom,MOVIE,Two biologists set out on an undertaking as colossal as their subjects—deciphering the complex communication of whales. Dr. Michelle Fournet and Dr. Ellen Garland journey to opposite hemispheres to uncover a culture eons older than our own.,2021,PG,86,['documentation'],['US'],,tt13622130,5.7,462.0,5.715,6.5
tm1080335,Blush,MOVIE,"When a horticulturalist-astronaut crashes onto a desolate planet, he encounters an ethereal visitor and discovers the joy of building a new life—realizing the universe has delivered something astonishing.",2021,PG,11,"['scifi', 'animation']",['US'],,tt14460998,8.0,,11.388,7.8
tm1109759,Snoopy Presents: For Auld Lang Syne,MOVIE,"After finding out her grandmother won't be visiting for Christmas, Lucy decides to cheer herself up by throwing the ultimate New Year's Eve party. Meanwhile, Charlie Brown tries to fulfill one of his resolutions before the clock strikes midnight.",2021,G,39,"['family', 'animation', 'comedy']",['CA'],,tt15553258,6.9,470.0,119.821,7.4
ts287796,The Me You Can't See,SHOW,Oprah Winfrey and Prince Harry join forces to guide honest discussions about mental health.,2021,TV-MA,62,['documentation'],['US'],1.0,tt14584186,5.2,1751.0,2.163,10.0
tm1047516,"Who Are You, Charlie Brown?",MOVIE,"A documentary about Peanuts and its creator, Charles M. Schulz. Famous fans—including Drew Barrymore, Kevin Smith, and Al Roker—share its influence on them, and a new animated story finds Charlie Brown on a quest.",2021,G,54,"['animation', 'documentation']","['US', 'CA']",,tt14784858,7.2,445.0,12.94,6.9
ts308042,Puppy Place,SHOW,"Charles and Lizzie Peterson have found the perfect way to foster their love of dogs — literally. The siblings take on the tough but rewarding task of fostering puppies and finding their forever homes. With every new pup, a new adventure begins.",2021,TV-G,26,[],['US'],1.0,tt15389998,7.0,65.0,2.11,8.7
ts287788,"Hello, Jack! The Kindness Show",SHOW,"Preschoolers are invited into a world where a little act of kindness can change the world. Alongside special guest stars, Jack inspires kids to solve problems with kindness and heart while showcasing stories where acts of kindness are shown through “The Three C’s” – caring, connecting and cascading – from one person to another.",2021,TV-Y,22,"['family', 'comedy']",['US'],1.0,tt14676680,7.2,70.0,5.915,5.5
ts308015,Wolfboy and The Everything Factory,SHOW,"William Wolfe is no ordinary human boy. Down in the magical spryte realm of the Everything Factory, he’s Wolfboy. And with his new spryte friends, he learns his vivid imagination and limitless creativity have the power to change the world.",2021,TV-Y7,12,"['animation', 'fantasy']",['US'],1.0,tt15389676,7.8,130.0,9.149,9.0
ts328195,Pretzel and the Puppies,SHOW,"Meet Pretzel, the world’s longest dachshund and a playful, supportive dad to five frisky puppies. Together with his wife, Greta, they encourage their pups to get their paws up to solve problems and “make their bark” on the world.",2022,TV-Y,23,"['family', 'animation']",['US'],1.0,tt17524490,7.4,31.0,3.439,10.0
ts308044,Get Rolling With Otis,SHOW,"Welcome to Long Hill Dairy Farm, home to Otis the tractor and all his friends. Otis may be little, but he has a big heart. Whenever he sees a friend in need, he hits the brakes to see what’s wrong and rolls into action to help.",2021,,23,['animation'],['US'],1.0,tt15389898,8.4,26.0,5.12,6.4
tm1129563,Mariah's Christmas: The Magic Continues,MOVIE,"The Queen of Christmas returns with a blast of holiday cheer in this special. Mariah performs her enchanting original song “Fall in Love at Christmas” with Khalid and Kirk Franklin, chats with Apple Music’s Zane Lowe, and signs off with a festive classic.",2021,G,18,"['music', 'family']",['US'],,tt15829598,4.8,184.0,3.838,4.8
