title,volume,authors,year,pages,link,code
Joint Estimation and Inference for Data Integration Problems based on Multiple Multi-layered Gaussian Graphical Models,Volume 23,"['Subhabrata Majumdar', 'George Michailidis']",2022,53,https://www.jmlr.org/papers/volume23/18-131/18-131.pdf,https://github.com/GeorgeMichailidis/JMMLE_code
Debiased  Distributed Learning for Sparse Partial Linear Models in  High Dimensions,Volume 23,"['Shaogao Lv', 'Heng Lian']",2022,32,https://www.jmlr.org/papers/volume23/18-467/18-467.pdf,
Recovering shared structure from multiple networks with unknown edge distributions,Volume 23,"['Keith Levin', 'Asad Lodhia', 'Elizaveta Levina']",2022,48,https://www.jmlr.org/papers/volume23/19-1056/19-1056.pdf,
Exploiting locality in high-dimensional Factorial hidden Markov models,Volume 23,"['Lorenzo Rimella', 'Nick Whiteley']",2022,34,https://www.jmlr.org/papers/volume23/19-267/19-267.pdf,https://github.com/LorenzoRimella/GraphFilter-GraphSmoother
Empirical Risk Minimization under Random Censorship,Volume 23,"['Guillaume Ausset', 'Stephan ClÃ©menÃ§on', 'FranÃ§ois Portier']",2022,59,https://www.jmlr.org/papers/volume23/19-450/19-450.pdf,
XAI Beyond Classification: Interpretable Neural Clustering,Volume 23,"['Xi Peng', 'Yunfan Li', 'Ivor W. Tsang', 'Hongyuan Zhu', 'Jiancheng Lv', 'Joey Tianyi Zhou']",2022,28,https://www.jmlr.org/papers/volume23/19-497/19-497.pdf,http://www.pengxi.me
Bayesian Multinomial Logistic Normal Models through Marginally Latent Matrix-T Processes,Volume 23,"['Justin D. Silverman', 'Kimberly Roche', 'Zachary C. Holmes', 'Lawrence A. David', 'Sayan Mukherjee']",2022,42,https://www.jmlr.org/papers/volume23/19-882/19-882.pdf,https://github.com/jsilve24/fido_paper_code
Deep Learning in Target Space,Volume 23,"['Michael Fairbank', 'Spyridon Samothrakis', 'Luca Citi']",2022,46,https://www.jmlr.org/papers/volume23/20-040/20-040.pdf,https://github.com/mikefairbank/dlts_paper_code
Scaling Laws from the Data Manifold Dimension,Volume 23,"['Utkarsh Sharma', 'Jared Kaplan']",2022,34,https://www.jmlr.org/papers/volume23/20-1111/20-1111.pdf,https://github.com/U-Sharma/NeuralScaleID
Interpolating Predictors in High-Dimensional Factor Regression,Volume 23,"['Florentina Bunea', 'Seth Strimas-Mackey', 'Marten Wegkamp']",2022,60,https://www.jmlr.org/papers/volume23/20-112/20-112.pdf,
Near Optimality of Finite Memory Feedback Policies in Partially Observed Markov Decision Processes,Volume 23,"['Ali Kara', 'Serdar Yuksel']",2022,46,https://www.jmlr.org/papers/volume23/20-1152/20-1152.pdf,
Approximate Information State for Approximate Planning and Reinforcement Learning in Partially Observed Systems,Volume 23,"['Jayakumar Subramanian', 'Amit Sinha', 'Raihan Seraj', 'Aditya Mahajan']",2022,83,https://www.jmlr.org/papers/volume23/20-1165/20-1165.pdf,https://github.com/info-structures/ais
Solving Large-Scale Sparse PCA to Certifiable (Near) Optimality,Volume 23,"['Dimitris Bertsimas', 'Ryan Cory-Wright', 'Jean Pauphilet']",2022,35,https://www.jmlr.org/papers/volume23/20-1188/20-1188.pdf,https://github.com/ryancorywright/ScalableSPCA.jl
On Generalizations of Some Distance Based Classifiers for HDLSS Data,Volume 23,"['Sarbojit Roy', 'Soham Sarkar', 'Subhajit Dutta', 'Anil K. Ghosh']",2022,41,https://www.jmlr.org/papers/volume23/20-1219/20-1219.pdf,
A Stochastic Bundle Method for Interpolation,Volume 23,"['Alasdair Paren', 'Leonard Berrada', 'Rudra P. K. Poudel', 'M. Pawan Kumar']",2022,57,https://www.jmlr.org/papers/volume23/20-1248/20-1248.pdf,https://github.com/oval-group/borat
TFPnP: Tuning-free Plug-and-Play Proximal Algorithms with Applications to Inverse Imaging Problems,Volume 23,"['Kaixuan Wei', 'Angelica Aviles-Rivero', 'Jingwei Liang', 'Ying Fu', 'Hua Huang', 'Carola-Bibiane SchÃ¶nlieb']",2022,48,https://www.jmlr.org/papers/volume23/20-1297/20-1297.pdf,https://github.com/Vandermode/TFPnP
Spatial Multivariate Trees for Big Data Bayesian Regression,Volume 23,"['Michele Peruzzi', 'David B. Dunson']",2022,40,https://www.jmlr.org/papers/volume23/20-1361/20-1361.pdf,https://github.com/mkln/spamtree
Decimated Framelet System on Graphs and Fast G-Framelet Transforms,Volume 23,"['Xuebin Zheng', 'Bingxin Zhou', 'Yu Guang Wang', 'Xiaosheng Zhuang']",2022,68,https://www.jmlr.org/papers/volume23/20-1402/20-1402.pdf,https://github.com/YuGuangWang/FGT
Universal Approximation in Dropout Neural Networks,Volume 23,"['Oxana A. Manita', 'Mark A. Peletier', 'Jacobus W. Portegies', 'Jaron Sanders', 'Albert Senen-Cerda']",2022,46,https://www.jmlr.org/papers/volume23/20-1433/20-1433.pdf,
Supervised Dimensionality Reduction and Visualization using Centroid-Encoder,Volume 23,"['Tomojit Ghosh', 'Michael Kirby']",2022,34,https://www.jmlr.org/papers/volume23/20-188/20-188.pdf,https://github.com/Tomojit1/Centroid-encoder/tree/master/GPU
Evolutionary Variational Optimization of Generative Models,Volume 23,"['Jakob Drefs', 'Enrico Guiraud', 'JÃ¶rg LÃ¼cke']",2022,51,https://www.jmlr.org/papers/volume23/20-233/20-233.pdf,https://github.com/tvlearn
LSAR: Efficient Leverage Score Sampling Algorithm for the Analysis of Big Time Series Data,Volume 23,"['Ali Eshragh', 'Fred Roosta', 'Asef Nazari', 'Michael W. Mahoney']",2022,36,https://www.jmlr.org/papers/volume23/20-247/20-247.pdf,
Fast and Robust Rank Aggregation against Model Misspecification,Volume 23,"['Yuangang Pan', 'Ivor W. Tsang', 'Weijie Chen', 'Gang Niu', 'Masashi Sugiyama']",2022,35,https://www.jmlr.org/papers/volume23/20-315/20-315.pdf,
On Biased Stochastic Gradient Estimation,Volume 23,"['Derek Driggs', 'Jingwei Liang', 'Carola-Bibiane SchÃ¶nlieb']",2022,43,https://www.jmlr.org/papers/volume23/20-316/20-316.pdf,
Efficient MCMC Sampling with Dimension-Free Convergence Rate using ADMM-type Splitting,Volume 23,"['Maxime Vono', 'Daniel Paulin', 'Arnaud Doucet']",2022,69,https://www.jmlr.org/papers/volume23/20-357/20-357.pdf,
MurTree: Optimal Decision Trees via Dynamic Programming and Search,Volume 23,"['Emir DemiroviÄ\x87', 'Anna Lukina', 'Emmanuel Hebrard', 'Jeffrey Chan', 'James Bailey', 'Christopher Leckie', 'Kotagiri Ramamohanarao', 'Peter J. Stuckey']",2022,47,https://www.jmlr.org/papers/volume23/20-520/20-520.pdf,https://bitbucket.org/EmirD/murtree
Data-Derived Weak Universal Consistency,Volume 23,"['Narayana Santhanam', 'Venkatachalam Anantharam', 'Wojciech Szpankowski']",2022,55,https://www.jmlr.org/papers/volume23/20-644/20-644.pdf,
Novel Min-Max Reformulations of Linear Inverse Problems,Volume 23,"['Mohammed Rayyan Sheriff', 'Debasish Chatterjee']",2022,46,https://www.jmlr.org/papers/volume23/20-707/20-707.pdf,
Theoretical Convergence of Multi-Step Model-Agnostic Meta-Learning,Volume 23,"['Kaiyi Ji', 'Junjie Yang', 'Yingbin Liang']",2022,41,https://www.jmlr.org/papers/volume23/20-720/20-720.pdf,
A Class of Conjugate Priors for Multinomial Probit Models which Includes the Multivariate Normal One,Volume 23,"['Augusto Fasano', 'Daniele Durante']",2022,26,https://www.jmlr.org/papers/volume23/20-735/20-735.pdf,
An improper estimator with optimal excess risk in misspecified density estimation and logistic regression,Volume 23,"['Jaouad Mourtada', 'StÃ©phane GaÃ¯ffas']",2022,49,https://www.jmlr.org/papers/volume23/20-782/20-782.pdf,
Active Learning for Nonlinear System Identification with Guarantees,Volume 23,"['Horia Mania', 'Michael I. Jordan', 'Benjamin Recht']",2022,30,https://www.jmlr.org/papers/volume23/20-807/20-807.pdf,
Model Averaging Is Asymptotically Better Than Model Selection For Prediction,Volume 23,"['Tri M. Le', 'Bertrand S. Clarke']",2022,53,https://www.jmlr.org/papers/volume23/20-874/20-874.pdf,
SODEN: A Scalable Continuous-Time Survival Model through Ordinary Differential Equation Networks,Volume 23,"['Weijing Tang', 'Jiaqi Ma', 'Qiaozhu Mei', 'Ji Zhu']",2022,29,https://www.jmlr.org/papers/volume23/20-900/20-900.pdf,https://github.com/jiaqima/SODEN
Optimality and Stability in Non-Convex Smooth Games,Volume 23,"['Guojun Zhang', 'Pascal Poupart', 'Yaoliang Yu']",2022,71,https://www.jmlr.org/papers/volume23/20-918/20-918.pdf,
Accelerated Zeroth-Order and First-Order Momentum Methods from Mini to Minimax Optimization,Volume 23,"['Feihu Huang', 'Shangqian Gao', 'Jian Pei', 'Heng Huang']",2022,70,https://www.jmlr.org/papers/volume23/20-924/20-924.pdf,
Projected Statistical Methods for Distributional Data on the Real Line with the Wasserstein Metric,Volume 23,"['Matteo Pegoraro', 'Mario Beraha']",2022,59,https://www.jmlr.org/papers/volume23/21-0059/21-0059.pdf,https://github.com/mberaha/ProjectedWasserstein
Score Matched Neural Exponential Families for Likelihood-Free Inference,Volume 23,"['Lorenzo Pacchiardi', 'Ritabrata Dutta']",2022,71,https://www.jmlr.org/papers/volume23/21-0061/21-0061.pdf,https://github.com/LoryPack/SM-ExpFam-LFI
"(f,Gamma)-Divergences: Interpolating between f-Divergences and Integral Probability Metrics",Volume 23,"['Jeremiah Birrell', 'Paul Dupuis', 'Markos A. Katsoulakis', 'Yannis Pantazis', 'Luc Rey-Bellet']",2022,70,https://www.jmlr.org/papers/volume23/21-0100/21-0100.pdf,
Structure-adaptive Manifold Estimation,Volume 23,"['Nikita Puchkin', 'Vladimir Spokoiny']",2022,62,https://www.jmlr.org/papers/volume23/21-0338/21-0338.pdf,
The correlation-assisted missing data estimator,Volume 23,"['Timothy I. Cannings', 'Yingying Fan']",2022,49,https://www.jmlr.org/papers/volume23/21-0345/21-0345.pdf,
Approximation and Optimization Theory for Linear Continuous-Time Recurrent Neural Networks,Volume 23,"['Zhong Li', 'Jiequn Han', 'Weinan E', 'Qianxiao Li']",2022,85,https://www.jmlr.org/papers/volume23/21-0368/21-0368.pdf,
Sampling Permutations for Shapley Value Estimation,Volume 23,"['Rory Mitchell', 'Joshua Cooper', 'Eibe Frank', 'Geoffrey Holmes']",2022,46,https://www.jmlr.org/papers/volume23/21-0439/21-0439.pdf,
PAC Guarantees and Effective Algorithms for Detecting Novel Categories,Volume 23,"['Si Liu', 'Risheek Garrepalli', 'Dan Hendrycks', 'Alan Fern', 'Debashis Mondal', 'Thomas G. Dietterich']",2022,47,https://www.jmlr.org/papers/volume23/21-0451/21-0451.pdf,https://github.com/liusi2019/ocd-journal
Optimal Transport for Stationary Markov Chains via Policy Iteration,Volume 23,"[""Kevin O'Connor"", 'Kevin McGoff', 'Andrew B. Nobel']",2022,52,https://www.jmlr.org/papers/volume23/21-0519/21-0519.pdf,https://github.com/oconnor-kevin/OTC
Beyond Sub-Gaussian Noises: Sharp Concentration Analysis for Stochastic Gradient Descent,Volume 23,"['Wanrong Zhu', 'Zhipeng Lou', 'Wei Biao Wu']",2022,22,https://www.jmlr.org/papers/volume23/21-0560/21-0560.pdf,
Cascaded Diffusion Models for High Fidelity Image Generation,Volume 23,"['Jonathan Ho', 'Chitwan Saharia', 'William Chan', 'David J. Fleet', 'Mohammad Norouzi', 'Tim Salimans']",2022,33,https://www.jmlr.org/papers/volume23/21-0635/21-0635.pdf,https://cascaded-diffusion.github.io/
Overparameterization of Deep ResNet: Zero Loss and Mean-field Analysis,Volume 23,"['Zhiyan Ding', 'Shi Chen', 'Qin Li', 'Stephen J. Wright']",2022,65,https://www.jmlr.org/papers/volume23/21-0669/21-0669.pdf,
Innovations Autoencoder and its Application in One-class Anomalous Sequence  Detection,Volume 23,"['Xinyi Wang', 'Lang Tong']",2022,27,https://www.jmlr.org/papers/volume23/21-0735/21-0735.pdf,
Analytically Tractable Hidden-States Inference in Bayesian Neural Networks,Volume 23,"['Luong-Ha Nguyen', 'James-A. Goulet']",2022,33,https://www.jmlr.org/papers/volume23/21-0758/21-0758.pdf,
Toolbox for Multimodal Learn (scikit-multimodallearn),Volume 23,"['Dominique Benielli', 'Baptiste Bauvin', 'Sokol KoÃ§o', 'Riikka Huusari', 'CÃ©cile Capponi', 'Hachem Kadri', 'FranÃ§ois Laviolette']",2022,7,https://www.jmlr.org/papers/volume23/21-0791/21-0791.pdf,https://github.com/dbenielli/scikit-multimodallearn
LinCDE: Conditional Density Estimation via Lindsey's Method,Volume 23,"['Zijun Gao', 'Trevor Hastie']",2022,55,https://www.jmlr.org/papers/volume23/21-0840/21-0840.pdf,
DoubleML - An Object-Oriented Implementation of Double Machine Learning in Python,Volume 23,"['Philipp Bach', 'Victor Chernozhukov', 'Malte S. Kurz', 'Martin Spindler']",2022,6,https://www.jmlr.org/papers/volume23/21-0862/21-0862.pdf,https://github.com/DoubleML/doubleml-for-py
SMAC3: A Versatile Bayesian Optimization Package for Hyperparameter Optimization,Volume 23,"['Marius Lindauer', 'Katharina Eggensperger', 'Matthias Feurer', 'AndrÃ© Biedenkapp', 'Difan Deng', 'Carolin Benjamins', 'Tim Ruhkopf', 'RenÃ© Sass', 'Frank Hutter']",2022,9,https://www.jmlr.org/papers/volume23/21-0888/21-0888.pdf,https://github.com/automl/SMAC3
Bayesian Pseudo Posterior Mechanism under Asymptotic Differential Privacy,Volume 23,"['Terrance D. Savitsky', 'Matthew R.Williams', 'Jingchen Hu']",2022,37,https://www.jmlr.org/papers/volume23/21-0936/21-0936.pdf,
solo-learn: A Library of Self-supervised Methods for Visual Representation Learning,Volume 23,"['Victor Guilherme Turrisi da Costa', 'Enrico Fini', 'Moin Nabi', 'Nicu Sebe', 'Elisa Ricci']",2022,6,https://www.jmlr.org/papers/volume23/21-1155/21-1155.pdf,https://github.com/vturrisi/solo-learn
Inherent Tradeoffs in Learning Fair Representations,Volume 23,"['Han Zhao', 'Geoffrey J. Gordon']",2022,26,https://www.jmlr.org/papers/volume23/21-1427/21-1427.pdf,
On the Optimality of Kernel-Embedding Based Goodness-of-Fit Tests,Volume 22,"['Krishnakumar Balasubramanian', 'Tong Li', 'Ming Yuan']",2021,45,https://www.jmlr.org/papers/volume22/17-570/17-570.pdf,
Domain Generalization by Marginal Transfer Learning,Volume 22,"['Gilles Blanchard', 'Aniket Anand Deshmukh', 'Urun Dogan', 'Gyemin Lee', 'Clayton Scott']",2021,55,https://www.jmlr.org/papers/volume22/17-679/17-679.pdf,https://github.com/aniketde/DomainGeneralizationMarginal
Regulating Greed Over Time in Multi-Armed Bandits,Volume 22,"['Stefano TracÃ\xa0', 'Cynthia Rudin', 'Weiyu Yan']",2021,99,https://www.jmlr.org/papers/volume22/17-720/17-720.pdf,https://github.com/ShrekFelix/Regulating-Greed-Over-Time
An Empirical Study of Bayesian Optimization: Acquisition Versus Partition,Volume 22,"['Erich Merrill', 'Alan Fern', 'Xiaoli Fern', 'Nima Dolatnia']",2021,25,https://www.jmlr.org/papers/volume22/18-220/18-220.pdf,https://github.com/Eiii/opt_cmp
The Decoupled Extended Kalman Filter for Dynamic Exponential-Family Factorization Models,Volume 22,"['Carlos A. Gomez-Uribe', 'Brian Karrer']",2021,25,https://www.jmlr.org/papers/volume22/18-417/18-417.pdf,
Consistent estimation of small masses in feature sampling,Volume 22,"['Fadhel Ayed', 'Marco Battiston', 'Federico Camerlenghi', 'Stefano Favaro']",2021,28,https://www.jmlr.org/papers/volume22/18-534/18-534.pdf,
Preference-based Online Learning with Dueling Bandits: A Survey,Volume 22,"['Viktor Bengs', 'RÃ³bert Busa-Fekete', 'Adil El Mesaoudi-Paul', 'Eyke HÃ¼llermeier']",2021,108,https://www.jmlr.org/papers/volume22/18-546/18-546.pdf,
A Unified Framework for Random Forest Prediction Error Estimation,Volume 22,"['Benjamin Lu', 'Johanna Hardin']",2021,41,https://www.jmlr.org/papers/volume22/18-558/18-558.pdf,
"Convex Clustering: Model, Theoretical Guarantee and Efficient Algorithm",Volume 22,"['Defeng Sun', 'Kim-Chuan Toh', 'Yancheng Yuan']",2021,32,https://www.jmlr.org/papers/volume22/18-694/18-694.pdf,
Mixing Time of Metropolis-Hastings for Bayesian Community Detection,Volume 22,"['Bumeng Zhuo', 'Chao Gao']",2021,89,https://www.jmlr.org/papers/volume22/18-770/18-770.pdf,
"Unfolding-Model-Based Visualization: Theory, Method and Applications",Volume 22,"['Yunxiao Chen', 'Zhiliang Ying', 'Haoran Zhang']",2021,51,https://www.jmlr.org/papers/volume22/18-846/18-846.pdf,https://github.com/hrzhang16/mmdu.
Global and Quadratic Convergence of Newton Hard-Thresholding Pursuit,Volume 22,"['Shenglong Zhou', 'Naihua Xiu', 'Hou-Duo Qi']",2021,45,https://www.jmlr.org/papers/volume22/19-026/19-026.pdf,
Homogeneity Structure Learning in Large-scale Panel Data with Heavy-tailed Errors,Volume 22,"['Di Xiao', 'Yuan Ke', 'Runze Li']",2021,42,https://www.jmlr.org/papers/volume22/19-1018/19-1018.pdf,
On Multi-Armed Bandit Designs for Dose-Finding Trials,Volume 22,"['Maryam Aziz', 'Emilie Kaufmann', 'Marie-Karelle Riviere']",2021,38,https://www.jmlr.org/papers/volume22/19-228/19-228.pdf,
Simple and Fast Algorithms for Interactive Machine Learning with Random Counter-examples,Volume 22,['Jagdeep Singh Bhatia'],2021,30,https://www.jmlr.org/papers/volume22/19-372/19-372.pdf,
Pykg2vec: A Python Library for Knowledge Graph Embedding,Volume 22,"['Shih-Yuan Yu', 'Sujit Rokka Chhetri', 'Arquimedes Canedo', 'Palash Goyal', 'Mohammad Abdullah Al Faruque']",2021,6,https://www.jmlr.org/papers/volume22/19-433/19-433.pdf,https://github.com/Sujit-O/pykg2vec
Continuous Time Analysis of Momentum Methods,Volume 22,"['Nikola B. Kovachki', 'Andrew M. Stuart']",2021,40,https://www.jmlr.org/papers/volume22/19-466/19-466.pdf,
A Unified Sample Selection Framework for Output Noise Filtering: An Error-Bound Perspective,Volume 22,"['Gaoxia Jiang', 'Wenjian Wang', 'Yuhua Qian', 'Jiye Liang']",2021,66,https://www.jmlr.org/papers/volume22/19-498/19-498.pdf,
Ranking and synchronization from pairwise measurements via SVD,Volume 22,"[""Alexandre d'Aspremont"", 'Mihai Cucuringu', 'Hemant Tyagi']",2021,63,https://www.jmlr.org/papers/volume22/19-542/19-542.pdf,
Aggregated Hold-Out,Volume 22,"['Guillaume Maillard', 'Sylvain Arlot', 'Matthieu Lerasle']",2021,55,https://www.jmlr.org/papers/volume22/19-624/19-624.pdf,
A Fast Globally Linearly Convergent Algorithm for the Computation of Wasserstein Barycenters,Volume 22,"['Lei Yang', 'Jia Li', 'Defeng Sun', 'Kim-Chuan Toh']",2021,37,https://www.jmlr.org/papers/volume22/19-629/19-629.pdf,
When random initializations help: a study of variational inference for community detection,Volume 22,"['Purnamrita Sarkar', 'Y. X. Rachel Wang', 'Soumendu S. Mukherjee']",2021,46,https://www.jmlr.org/papers/volume22/19-630/19-630.pdf,
A Two-Level Decomposition Framework Exploiting First and Second Order Information for SVM Training Problems,Volume 22,"['Giulio Galvan', 'Matteo Lapucci', 'Chih-Jen Lin', 'Marco Sciandrone']",2021,38,https://www.jmlr.org/papers/volume22/19-632/19-632.pdf,
Entangled Kernels - Beyond Separability,Volume 22,"['Riikka Huusari', 'Hachem Kadri']",2021,40,https://www.jmlr.org/papers/volume22/19-665/19-665.pdf,https://github.com/RiikkaHuu/EKL
Generalization Performance of Multi-pass Stochastic Gradient Descent with Convex Loss Functions,Volume 22,"['Yunwen Lei', 'Ting Hu', 'Ke Tang']",2021,41,https://www.jmlr.org/papers/volume22/19-716/19-716.pdf,
Finite Time LTI System Identification,Volume 22,"['Tuhin Sarkar', 'Alexander Rakhlin', 'Munther A. Dahleh']",2021,61,https://www.jmlr.org/papers/volume22/19-725/19-725.pdf,
Inference In High-dimensional Single-Index Models Under Symmetric Designs,Volume 22,"['Hamid Eftekhari', 'Moulinath Banerjee', ""Ya'acov Ritov""]",2021,63,https://www.jmlr.org/papers/volume22/19-744/19-744.pdf,https://github.com/ehamid/sim_debiasing
Tsallis-INF: An Optimal Algorithm for Stochastic and Adversarial Bandits,Volume 22,"['Julian Zimmert', 'Yevgeny Seldin']",2021,49,https://www.jmlr.org/papers/volume22/19-753/19-753.pdf,
Single and Multiple Change-Point Detection with Differential Privacy,Volume 22,"['Wanrong Zhang', 'Sara Krehbiel', 'Rui Tuo', 'Yajun Mei', 'Rachel Cummings']",2021,36,https://www.jmlr.org/papers/volume22/19-770/19-770.pdf,
"A Review of Robot Learning for Manipulation: Challenges, Representations, and Algorithms",Volume 22,"['Oliver Kroemer', 'Scott Niekum', 'George Konidaris']",2021,82,https://www.jmlr.org/papers/volume22/19-804/19-804.pdf,
FLAME: A Fast Large-scale Almost Matching Exactly Approach to Causal Inference,Volume 22,"['Tianyu Wang', 'Marco Morucci', 'M. Usaid Awan', 'Yameng Liu', 'Sudeepa Roy', 'Cynthia Rudin', 'Alexander Volfovsky']",2021,41,https://www.jmlr.org/papers/volume22/19-853/19-853.pdf,
Learning interaction kernels in heterogeneous systems of agents from multiple trajectories,Volume 22,"['Fei Lu', 'Mauro Maggioni', 'Sui Tang']",2021,67,https://www.jmlr.org/papers/volume22/19-861/19-861.pdf,https://github.com/MingZhongCodes/LearningDynamics.git
Asynchronous Online Testing of Multiple Hypotheses,Volume 22,"['Tijana Zrnic', 'Aaditya Ramdas', 'Michael I. Jordan']",2021,39,https://www.jmlr.org/papers/volume22/19-910/19-910.pdf,
Neighborhood Structure Assisted Non-negative Matrix Factorization and Its Application in Unsupervised Point-wise Anomaly Detection,Volume 22,"['Imtiaz Ahmed', 'Xia Ben Hu', 'Mithun P. Acharya', 'Yu Ding']",2021,32,https://www.jmlr.org/papers/volume22/19-924/19-924.pdf,https://urldefense.com/v3/__https://tamucs-my.sharepoint.com/:u:/g/personal/yu-ding_tamu_edu/EdeIKFF07H1KlB0vIeGxtrABbs9DcQnL8Bf8_cNjNQeR3g?e=exOuZm__;!!KwNVnqRv!VnN480fumwOmmgvIA_xcK58wt1ax4nXdi2iYfu_pqjzo3-xnLb955YhS_HGh5pFUyQ$
Learning and Planning for Time-Varying MDPs Using Maximum Likelihood Estimation,Volume 22,"['Melkior Ornik', 'Ufuk Topcu']",2021,40,https://www.jmlr.org/papers/volume22/20-006/20-006.pdf,
Multi-class Gaussian Process Classification with Noisy Inputs,Volume 22,"['Carlos Villacampa-Calvo', 'Bryan ZaldÃ\xadvar', 'Eduardo C. Garrido-MerchÃ¡n', 'Daniel HernÃ¡ndez-Lobato']",2021,52,https://www.jmlr.org/papers/volume22/20-107/20-107.pdf,https://github.com/cvillacampa/GPInputNoise
A Bayesian Contiguous Partitioning Method for Learning Clustered Latent Variables,Volume 22,"['Zhao Tang Luo', 'Huiyan Sang', 'Bani Mallick']",2021,52,https://www.jmlr.org/papers/volume22/20-136/20-136.pdf,
Risk-Averse Learning by Temporal Difference Methods with Markov Risk Measures,Volume 22,"['Umit KÃ¶se', 'Andrzej RuszczyÅ\x84ski']",2021,34,https://www.jmlr.org/papers/volume22/20-168/20-168.pdf,
giotto-tda: : A Topological Data Analysis Toolkit for Machine Learning and Data Exploration,Volume 22,"['Guillaume Tauzin', 'Umberto Lupo', 'Lewis Tunstall', 'Julian Burella PÃ©rez', 'Matteo Caorsi', 'Anibal M. Medina-Mardones', 'Alberto Dassatti', 'Kathryn Hess']",2021,6,https://www.jmlr.org/papers/volume22/20-325/20-325.pdf,https://github.com/giotto-ai/giotto-tda
Residual Energy-Based Models for Text,Volume 22,"['Anton Bakhtin', 'Yuntian Deng', 'Sam Gross', 'Myle Ott', ""Marc'Aurelio Ranzato"", 'Arthur Szlam']",2021,41,https://www.jmlr.org/papers/volume22/20-326/20-326.pdf,
From Fourier to Koopman: Spectral Methods for Long-term Time Series Prediction,Volume 22,"['Henning Lange', 'Steven L. Brunton', 'J. Nathan Kutz']",2021,38,https://www.jmlr.org/papers/volume22/20-406/20-406.pdf,https://github.com/helange23/from_fourier_to_koopman
High-Order Langevin Diffusion Yields an Accelerated MCMC Algorithm,Volume 22,"['Wenlong Mou', 'Yi-An Ma', 'Martin J. Wainwright', 'Peter L. Bartlett', 'Michael I. Jordan']",2021,41,https://www.jmlr.org/papers/volume22/20-576/20-576.pdf,
Banach Space Representer Theorems for Neural Networks and Ridge Splines,Volume 22,"['Rahul Parhi', 'Robert D. Nowak']",2021,40,https://www.jmlr.org/papers/volume22/20-583/20-583.pdf,
Wasserstein barycenters can be computed in polynomial time in fixed dimension,Volume 22,"['Jason M Altschuler', 'Enric Boix-Adsera']",2021,19,https://www.jmlr.org/papers/volume22/20-588/20-588.pdf,https://github.com/eboix/high_precision_barycenters
RaSE: Random Subspace Ensemble Classification,Volume 22,"['Ye Tian', 'Yang Feng']",2021,93,https://www.jmlr.org/papers/volume22/20-600/20-600.pdf,https://cran.r-project.org/web/packages/RaSEn/index.html
Optimal Structured Principal Subspace Estimation: Metric Entropy and Minimax Rates,Volume 22,"['Tony Cai', 'Hongzhe Li', 'Rong Ma']",2021,45,https://www.jmlr.org/papers/volume22/20-610/20-610.pdf,
Understanding Recurrent Neural Networks Using Nonequilibrium Response Theory,Volume 22,['Soon Hoe Lim'],2021,48,https://www.jmlr.org/papers/volume22/20-620/20-620.pdf,
Optimal Feedback Law Recovery by Gradient-Augmented Sparse Polynomial Regression,Volume 22,"['Behzad Azmi', 'Dante Kalise', 'Karl Kunisch']",2021,32,https://www.jmlr.org/papers/volume22/20-755/20-755.pdf,
From Low Probability to High Confidence in Stochastic Convex Optimization,Volume 22,"['Damek Davis', 'Dmitriy Drusvyatskiy', 'Lin Xiao', 'Junyu Zhang']",2021,38,https://www.jmlr.org/papers/volume22/20-821/20-821.pdf,
Structure Learning of Undirected Graphical Models for Count Data,Volume 22,"['Nguyen Thi Kim Hue', 'Monica Chiogna']",2021,53,https://www.jmlr.org/papers/volume22/18-401/18-401.pdf,
Projection-free Decentralized Online Learning for Submodular Maximization over Time-Varying Networks,Volume 22,"['Junlong Zhu', 'Qingtao Wu', 'Mingchuan Zhang', 'Ruijuan Zheng', 'Keqin Li']",2021,42,https://www.jmlr.org/papers/volume22/18-407/18-407.pdf,
Sparse and Smooth Signal Estimation: Convexification of L0-Formulations,Volume 22,"['Alper Atamturk', 'Andres Gomez', 'Shaoning Han']",2021,43,https://www.jmlr.org/papers/volume22/18-745/18-745.pdf,
Subspace Clustering through Sub-Clusters,Volume 22,"['Weiwei Li', 'Jan Hannig', 'Sayan Mukherjee']",2021,37,https://www.jmlr.org/papers/volume22/18-780/18-780.pdf,
GemBag: Group Estimation of Multiple Bayesian Graphical Models,Volume 22,"['Xinming Yang', 'Lingrui Gan', 'Naveen N. Narisetty', 'Feng Liang']",2021,48,https://www.jmlr.org/papers/volume22/19-1006/19-1006.pdf,
Integrative Generalized Convex Clustering Optimization and Feature Selection for Mixed Multi-View Data,Volume 22,"['Minjie Wang', 'Genevera I. Allen']",2021,73,https://www.jmlr.org/papers/volume22/19-1012/19-1012.pdf,
Incorporating Unlabeled Data into Distributionally Robust Learning,Volume 22,"['Charlie Frogner', 'Sebastian Claici', 'Edward Chien', 'Justin Solomon']",2021,46,https://www.jmlr.org/papers/volume22/19-1023/19-1023.pdf,
Normalizing Flows for Probabilistic Modeling and Inference,Volume 22,"['George Papamakarios', 'Eric Nalisnick', 'Danilo Jimenez Rezende', 'Shakir Mohamed', 'Balaji Lakshminarayanan']",2021,64,https://www.jmlr.org/papers/volume22/19-1028/19-1028.pdf,
Estimation and Inference for High Dimensional Generalized Linear Models: A Splitting and Smoothing Approach,Volume 22,"['Zhe Fei', 'Yi Li']",2021,32,https://www.jmlr.org/papers/volume22/19-132/19-132.pdf,https://github.com/feizhe/SSHDI
