title,volume,authors,year,pages,link,code
A Well-Tempered Landscape for Non-convex Robust Subspace Recovery,Volume 20,"['Tyler Maunu', 'Teng Zhang', 'Gilad Lerman']",2019,59,https://www.jmlr.org/papers/volume20/17-324/17-324.pdf,
Approximation Hardness for A Class of Sparse Optimization Problems,Volume 20,"['Yichen Chen', 'Yinyu Ye', 'Mengdi Wang']",2019,27,https://www.jmlr.org/papers/volume20/17-373/17-373.pdf,
A Bootstrap Method for Error Estimation in Randomized Matrix Multiplication,Volume 20,"['Miles E. Lopes', 'Shusen Wang', 'Michael W. Mahoney']",2019,40,https://www.jmlr.org/papers/volume20/17-451/17-451.pdf,
Stochastic Modified Equations and Dynamics of Stochastic Gradient Algorithms I: Mathematical Foundations,Volume 20,"['Qianxiao Li', 'Cheng Tai', 'Weinan E']",2019,47,https://www.jmlr.org/papers/volume20/17-526/17-526.pdf,
Decontamination of Mutual Contamination Models,Volume 20,"['Julian Katz-Samuels', 'Gilles Blanchard', 'Clayton Scott']",2019,57,https://www.jmlr.org/papers/volume20/17-576/17-576.pdf,
Utilizing Second Order Information in Minibatch Stochastic Variance Reduced Proximal Iterations,Volume 20,"['Jialei Wang', 'Tong Zhang']",2019,56,https://www.jmlr.org/papers/volume20/17-594/17-594.pdf,
DSCOVR: Randomized Primal-Dual Block Coordinate Algorithms for Asynchronous Distributed Optimization,Volume 20,"['Lin Xiao', 'Adams Wei Yu', 'Qihang Lin', 'Weizhu Chen']",2019,58,https://www.jmlr.org/papers/volume20/17-608/17-608.pdf,
Picasso: A Sparse Learning Library for High Dimensional Data Analysis in R and Python,Volume 20,"['Jason Ge', 'Xingguo Li', 'Haoming Jiang', 'Han Liu', 'Tong Zhang', 'Mengdi Wang', 'Tuo Zhao']",2019,5,https://www.jmlr.org/papers/volume20/17-722/17-722.pdf,https://github.com/jasonge27/picasso
Robust Frequent Directions with Application in Online Learning,Volume 20,"['Luo Luo', 'Cheng Chen', 'Zhihua Zhang', 'Wu-Jun Li', 'Tong Zhang']",2019,41,https://www.jmlr.org/papers/volume20/17-773/17-773.pdf,
Boosted Kernel Ridge Regression: Optimal Learning Rates and Early Stopping,Volume 20,"['Shao-Bo Lin', 'Yunwen Lei', 'Ding-Xuan Zhou']",2019,36,https://www.jmlr.org/papers/volume20/18-063/18-063.pdf,
Analysis of spectral clustering algorithms for community detection: the general bipartite setting,Volume 20,"['Zhixin Zhou', 'Arash A.Amini']",2019,47,https://www.jmlr.org/papers/volume20/18-170/18-170.pdf,
Efficient augmentation and relaxation learning for individualized treatment rules using observational data,Volume 20,"['Ying-Qi Zhao', 'Eric B. Laber', 'Yang Ning', 'Sumona Saha', 'Bruce E. Sands']",2019,23,https://www.jmlr.org/papers/volume20/18-191/18-191.pdf,
Using Simulation to Improve Sample-Efficiency of Bayesian Optimization for Bipedal Robots,Volume 20,"['Akshara Rai', 'Rika Antonova', 'Franziska Meier', 'Christopher G. Atkeson']",2019,24,https://www.jmlr.org/papers/volume20/18-196/18-196.pdf,
No-Regret Bayesian Optimization with Unknown Hyperparameters,Volume 20,"['Felix Berkenkamp', 'Angela P. Schoellig', 'Andreas Krause']",2019,24,https://www.jmlr.org/papers/volume20/18-213/18-213.pdf,
Bayesian Combination of Probabilistic Classifiers using Multivariate Normal Mixtures,Volume 20,"['Gregor PirÅ¡', 'Erik Å\xa0trumbelj']",2019,18,https://www.jmlr.org/papers/volume20/18-241/18-241.pdf,
Thompson Sampling Guided Stochastic Searching on the Line for Deceptive Environments with Applications to Root-Finding Problems,Volume 20,"['Sondre Glimsdal', 'Ole-Christoffer Granmo']",2019,24,https://www.jmlr.org/papers/volume20/18-263/18-263.pdf,
Tunability: Importance of Hyperparameters of Machine Learning Algorithms,Volume 20,"['Philipp Probst', 'Anne-Laure Boulesteix', 'Bernd Bischl']",2019,32,https://www.jmlr.org/papers/volume20/18-444/18-444.pdf,
Deep Reinforcement Learning for Swarm Systems,Volume 20,"['Maximilian HÃ¼ttenrauch', 'Adrian Å\xa0oÅ¡iÄ\x87', 'Gerhard Neumann']",2019,31,https://www.jmlr.org/papers/volume20/18-476/18-476.pdf,
Neural Architecture Search: A Survey,Volume 20,"['Thomas Elsken', 'Jan Hendrik Metzen', 'Frank Hutter']",2019,21,https://www.jmlr.org/papers/volume20/18-598/18-598.pdf,
Near Optimal Frequent Directions for Sketching Dense and Sparse Matrices,Volume 20,['Zengfeng Huang'],2019,23,https://www.jmlr.org/papers/volume20/18-875/18-875.pdf,
Multi-class Heterogeneous Domain Adaptation,Volume 20,"['Joey Tianyi Zhou', 'Ivor W. Tsang', 'Sinno Jialin Pan', 'Mingkui Tan']",2019,31,https://www.jmlr.org/papers/volume20/13-580/13-580.pdf,
The Common-directions Method for Regularized Empirical Risk Minimization,Volume 20,"['Po-Wei Wang', 'Ching-pei Lee', 'Chih-Jen Lin']",2019,49,https://www.jmlr.org/papers/volume20/16-309/16-309.pdf,
Kernel Approximation Methods for Speech Recognition,Volume 20,"['Avner May', 'Alireza Bagheri Garakani', 'Zhiyun Lu', 'Dong Guo', 'Kuan Liu', 'AurÃ©lien Bellet', 'Linxi Fan', 'Michael Collins', 'Daniel Hsu', 'Brian Kingsbury', 'Michael Picheny', 'Fei Sha']",2019,36,https://www.jmlr.org/papers/volume20/17-026/17-026.pdf,
Robust Estimation of Derivatives Using Locally Weighted Least Absolute Deviation Regression,Volume 20,"['WenWu Wang', 'Ping Yu', 'Lu Lin', 'Tiejun Tong']",2019,49,https://www.jmlr.org/papers/volume20/17-340/17-340.pdf,
The Sup-norm Perturbation of HOSVD and Low Rank Tensor Denoising,Volume 20,"['Dong Xia', 'Fan Zhou']",2019,42,https://www.jmlr.org/papers/volume20/17-397/17-397.pdf,
Multi-scale Online Learning: Theory and Applications to Online Auctions and Pricing,Volume 20,"['SÃ©bastien Bubeck', 'Nikhil R. Devanur', 'Zhiyi Huang', 'Rad Niazadeh']",2019,37,https://www.jmlr.org/papers/volume20/17-498/17-498.pdf,
Nearly-tight VC-dimension and Pseudodimension Bounds for Piecewise Linear Neural Networks,Volume 20,"['Peter L. Bartlett', 'Nick Harvey', 'Christopher Liaw', 'Abbas Mehrabian']",2019,17,https://www.jmlr.org/papers/volume20/17-612/17-612.pdf,
A Representer Theorem for Deep Kernel Learning,Volume 20,"['Bastian Bohn', 'Michael Griebel', 'Christian Rieger']",2019,32,https://www.jmlr.org/papers/volume20/17-621/17-621.pdf,
Active Learning for Cost-Sensitive Classification,Volume 20,"['Akshay Krishnamurthy', 'Alekh Agarwal', 'Tzu-Kuo Huang', 'Hal DaumÃ© III', 'John Langford']",2019,50,https://www.jmlr.org/papers/volume20/17-681/17-681.pdf,
Proximal Distance Algorithms: Theory and Practice,Volume 20,"['Kevin L. Keys', 'Hua Zhou', 'Kenneth Lange']",2019,38,https://www.jmlr.org/papers/volume20/17-687/17-687.pdf,
Learnability of Solutions to Conjunctive Queries,Volume 20,"['Hubie Chen', 'Matthew Valeriote']",2019,28,https://www.jmlr.org/papers/volume20/17-734/17-734.pdf,
Variance-based Regularization with Convex Objectives,Volume 20,"['John Duchi', 'Hongseok Namkoong']",2019,55,https://www.jmlr.org/papers/volume20/17-750/17-750.pdf,
On Consistent Vertex Nomination Schemes,Volume 20,"['Vince Lyzinski', 'Keith Levin', 'Carey E. Priebe']",2019,39,https://www.jmlr.org/papers/volume20/18-048/18-048.pdf,
Semi-Analytic Resampling in Lasso,Volume 20,"['Tomoyuki Obuchi', 'Yoshiyuki Kabashima']",2019,33,https://www.jmlr.org/papers/volume20/18-109/18-109.pdf,
Lazifying Conditional Gradient Algorithms,Volume 20,"['GÃ¡bor Braun', 'Sebastian Pokutta', 'Daniel Zink']",2019,42,https://www.jmlr.org/papers/volume20/18-114/18-114.pdf,
