id,title,type,description,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
ts28078,Yu Yu Hakusho,SHOW,"One day, 14-year-old Yusuke Urameshi suddenly finds himself dead, having died pushing a child out of the way of oncoming traffic. Since he has such a bad personality, even the Spirit World was caught by surprise that he would sacrifice himself. Yusuke soon finds out he wasn't supposed to die and has a chance for resurrection and bringing his body back to life. After being resurrected, Yusuke becomes a Spirit Detective, along with his comrades, and one adventure after another happens, whether it be an investigation or a fighting tournament.",1992,TV-14,23,"['scifi', 'action', 'comedy', 'drama', 'fantasy', 'romance', 'animation']",['JP'],5.0,tt0185133,8.4,13046.0,33.701,8.8
ts21034,InuYasha,SHOW,"Kagome Higurashi is a modern day young girl who lives with her family by the old Higure shrine. Unbeknownst to Kagome, she is the reincarnation of priestess Kikyo and posseses the ""Jewel of Four Souls"" (the Shikon jewel). One ill-fated day, Kagome locates an ancient well near her home and is abruptly transported through the well and into a feudal Japan, inhabited by demons. There, she encounters Inuyasha, son of a powerful demon father and a human mother, who is pinned to a tree by an enchanted arrow.",2000,TV-14,25,"['action', 'comedy', 'scifi', 'animation', 'drama', 'fantasy', 'romance']",['JP'],9.0,tt0290223,7.9,15823.0,149.742,8.6
ts22113,Initial D,SHOW,"Takumi’s job as a tofu delivery boy has turned him into one of the most formidable drivers around. Behind the wheel of his Eight-Six, he’s one with the road—and his life shifts into high gear when the underground street racing world takes notice. Drivers from across the region are lining up for a shot at the new guy. Takumi’s not just focused on winning—he’s out to prove he’s the best.",1998,TV-14,26,"['animation', 'action', 'comedy', 'drama', 'sport', 'romance']",['JP'],6.0,tt0385426,8.4,3082.0,65.264,7.8
ts25674,Serial Experiments Lain,SHOW,"Lain—driven by the abrupt suicide of a classmate—logs on to the Wired and promptly loses herself in a twisted mass of hallucinations, memories, and interconnected-psyches.",1998,TV-MA,25,"['scifi', 'thriller', 'animation', 'drama', 'horror']",['JP'],1.0,tt0500092,8.1,13135.0,15.379,8.2
ts34554,Rurouni Kenshin,SHOW,"The Meiji Era was one of great renewal for Japan, where swords and killing were outlawed. However, many survivors from the time of Revolution still live, lurking in the shadows and waiting for a chance to use their killing blades again. Only Kenshin Himura, formerly one of the most brutal of killers, hopes to keep his swordsman's honor and still live in the new era.",1996,TV-14,25,"['action', 'fantasy', 'animation', 'comedy', 'romance', 'drama', 'history', 'thriller']",['JP'],4.0,tt15072540,8.4,19012.0,63.142,8.6
ts25497,Outlaw Star,SHOW,"Gene Starwind is a jack-of-all-trades responsible for odd jobs and bounty hunting with his partner, Jim Hawking. Stuck on a rundown planet, he’s going nowhere fast. But when a bodyguard job goes sideways, he finds himself the proud owner of the Outlaw Star and on an adventure to find the mysterious Galactic Leyline. Facing pirates and dangers galore, can he survive the journey through space?",1998,TV-14,25,"['scifi', 'action', 'comedy', 'drama', 'western', 'thriller', 'animation']",['JP'],1.0,tt0294164,7.9,3693.0,6.171,7.8
ts21278,Revolutionary Girl Utena,SHOW,"The main character is Utena Tenjou, a tomboyish teenage girl who was so impressed by a kind prince in her childhood that she decided to become a prince herself. She attends Ohtori Academy, where she meets a student named Anthy Himemiya, a girl who is in an abusive relationship with another student. Utena fights to protect Anthy and is pulled into a series of sword duels with the members of the Student Council. Anthy is referred to as the ""Rose Bride"" and is given to the winner of each duel. It is said that the winner of the of tournament will receive a mysterious ""power to revolutionize the world"", and the current champion is constantly challenged for the right to possess the Rose Bride.",1997,TV-14,24,"['scifi', 'fantasy', 'romance', 'thriller', 'animation', 'comedy', 'drama']",['JP'],4.0,tt0205410,8.1,1642.0,24.297,8.5
ts27269,The Vision of Escaflowne,SHOW,"High school student Hitomi is transported from Earth to the magical world of Gaea, where she meets boy prince Van Fanel, and is caught up in his quest to unite the countries of Gaea against the ominous Zaibach empire. On the way, she discovers an hidden ability and strives to unravel layers of mystery surrounding Van, his past, and the giant machine known as Escaflowne.",1996,TV-Y7,23,"['scifi', 'animation', 'romance', 'action', 'comedy', 'drama', 'fantasy', 'thriller', 'war']",['JP'],1.0,tt0262996,7.8,4133.0,15.384,8.1
ts22286,Cardcaptor Sakura,SHOW,"Sakura Kinomoto, an elementary school student who discovers that she possesses magical powers after accidentally freeing a set of magical cards from the book they had been sealed in for years. She is then tasked with retrieving those cards in order to avoid an unknown catastrophe from befalling the world.",1998,TV-Y7,25,"['scifi', 'comedy', 'drama', 'family', 'fantasy', 'romance', 'animation', 'action']",['JP'],4.0,tt0221735,8.0,4936.0,53.714,8.7
tm49446,Revolutionary Girl Utena: The Adolescence of Utena,MOVIE,"In a loose retelling of the Revolutionary Girl Utena TV series, Utena Tenjou arrives at Ohtori Academy, only to be immediately swept up in a series of duels for the hand of her classmate Anthy Himemiya and the power she supposedly holds. At the same time, Utena reunites with Touga Kiryuu, a friend from her childhood who seems to know the secrets behind the duels. Utena must discover those secrets for herself, before the power that rules Ohtori claims her and her friends, new and old.",1999,,85,"['fantasy', 'animation', 'action', 'comedy', 'drama', 'romance']",['JP'],,tt0243558,7.1,1524.0,8.104,7.2
