id,title,type,description,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
ts13111,The Big Valley,SHOW,"The Big Valley is an American western television series which ran on ABC from September 15, 1965, to May 19, 1969. The show stars Barbara Stanwyck, as the widow of a wealthy nineteenth century California rancher. It was created by A.I. Bezzerides and Louis F. Edelman, and produced by Levy-Gardner-Laven for Four Star Television.",1965,,60,['western'],['US'],4.0,tt0058791,7.6,2972.0,34.424,5.7
ts2775,Centennial,SHOW,"The economic and cultural growth of town of Centennial, Colorado, through the intertwining lives of the brave men and women inhabiting it. Spanning two centuries from the settling of the area in the 1700s, to the late 1970s.",1978,,105,"['western', 'action', 'drama', 'romance']",['US'],1.0,tt0076993,8.3,3238.0,23.24,8.0
tm125044,French Connection II,MOVIE,"""Popeye"" Doyle travels to Marseilles to find Alain Charnier, the drug smuggler that eluded him in New York.",1975,R,119,"['thriller', 'action', 'crime', 'drama']",['US'],,tt0073018,6.7,18551.0,10.321,6.9
tm188283,A Shot in the Dark,MOVIE,Inspector Jacques Clouseau investigates the murder of Mr. Benjamin Ballon's driver at a country estate.  A Shot in the Dark is the second and more successful film from the Pink Panther film series where both animated and real life sequences are mixed. A cult classic from Blake Edwards based on the play L’Idiot by Marcel Achard and Harry Kurnitz.,1964,PG,102,"['crime', 'comedy']","['GB', 'US']",,tt0058586,7.4,28068.0,9.174,7.3
ts21348,The Virginian,SHOW,"The Virginian is an American Western television series starring James Drury and Doug McClure, which aired on NBC from 1962 to 1971 for a total of 249 episodes. It was a spin-off from a 1958 summer series called Decision. Filmed in color, The Virginian became television's first 90-minute western series. Immensely successful, it ran for nine seasons—television's third longest running western. It follows Bonanza at fourteen seasons and 430 episodes, and Gunsmoke at twenty seasons and 635 episodes.",1962,TV-PG,75,['western'],['US'],9.0,tt0055710,7.6,2635.0,55.86,6.8
tm124162,The Return of the Pink Panther,MOVIE,The famous Pink Panther jewel has once again been stolen and Inspector Clouseau is called in to catch the thief. The Inspector is convinced that 'The Phantom' has returned and utilises all of his resources – himself and his Asian manservant – to reveal the identity of 'The Phantom'.,1975,G,113,"['comedy', 'crime']",['GB'],,tt0072081,7.0,27125.0,11.343,6.8
tm102791,Two Mules for Sister Sara,MOVIE,"When a wandering mercenary named Hogan rescues a nun called Sister Sara from the unwanted attentions of a band of rogues on the Mexican plains, he has no idea what he has let himself in for. Their chance encounter results in the blowing up of a train and a French garrison, as well as igniting a spark between them that survives a shocking discovery.",1970,PG,114,"['western', 'romance', 'war']","['MX', 'US']",,tt0065134,7.0,27469.0,13.908,7.0
tm93760,"Bon Voyage, Charlie Brown (and Don't Come Back!!)",MOVIE,"Charlie Brown, Linus, Peppermint Patty and Marcie travel to France as foreign exchange students. Also along is Snoopy and Woodstock. While everyone is excited about the opportunity to travel to a foreign country, Charlie is disturbed by a letter he receives from a mysterious girl from France who invites him as a her guest only to find that he does not seem welcomed to her Chateau.",1980,G,75,"['animation', 'comedy', 'family']",['US'],,tt0080461,7.2,3195.0,4.923,6.5
ts21132,Wanted: Dead or Alive,SHOW,"Wanted: Dead or Alive is an American Western television series starring Steve McQueen as the bounty hunter Josh Randall. It aired on CBS for three seasons from 1958–61. The black-and-white program was a spin-off of a March 1958 episode of Trackdown, a 1957–59 western series starring Robert Culp. Both series were produced by Four Star Television in association with CBS Television.

The series launched McQueen into becoming the first television star to cross over into comparable status on the big screen.",1958,TV-PG,26,['western'],['US'],3.0,tt0051327,8.0,2351.0,34.076,6.9
tm82349,Car Wash,MOVIE,"This day-in-the-life cult comedy focuses on a group of friends working at Sully Boyar's Car Wash in the Los Angeles ghetto. The team meets dozens of eccentric customers -- including a smooth-talking preacher, a wacky cab driver and an ex-convict -- while cracking politically incorrect jokes to a constant soundtrack of disco and funk. Some of the workers find romance as the day moves along, but most are just happy to get through another shift.",1976,PG,97,"['comedy', 'romance', 'drama']",['US'],,tt0074281,6.1,7238.0,6.158,6.1
ts11306,Death Valley Days,SHOW,"Death Valley Days is an American radio and television anthology series featuring true stories of the old American West, particularly the Death Valley area. Created in 1930 by Ruth Woodman, the program was broadcast on radio until 1945 and continued from 1952 to 1970 as a syndicated television series, with reruns continuing through August 1, 1975.

The series was sponsored by the Pacific Coast Borax Company and hosted by Stanley Andrews, Ronald Reagan, Robert Taylor, and Dale Robertson. With the passing of Dale Robertson in 2013, all the former Death Valley Days hosts are now deceased.",1952,,27,['western'],['US'],18.0,tt0044259,7.6,856.0,16.422,6.8
tm37212,Ride Lonesome,MOVIE,"A wanted murderer, Billy John, is captured by Ben Brigade, a bounty hunter, who intends to take him to Santa Cruz to be hanged. Brigade stops at a staging post, where he saves the manager's wife from an Indian attack, and enlists the help of two outlaws to continue his journey more safely.",1959,,73,"['western', 'drama']",['US'],,tt0053220,7.1,5430.0,6.453,6.6
tm79373,Major Dundee,MOVIE,"During the last winter of the Civil War, cavalry officer Amos Dundee leads a contentious troop of Army regulars, Confederate prisoners and scouts on an expedition into Mexico to destroy a band of Apaches who have been raiding U.S. bases in Texas.",1965,PG-13,135,"['western', 'war']",['US'],,tt0059418,6.7,7961.0,8.092,6.6
tm122147,Forty Guns,MOVIE,"An authoritarian rancher rules an Arizona county with her private posse of hired guns. When a new Marshall arrives to set things straight, the cattle queen finds herself falling for the avowedly non-violent lawman. Both have itchy-fingered brothers, a female gunman enters the picture, and things go desperately wrong.",1957,,80,"['western', 'drama', 'romance']",['US'],,tt0050407,7.0,5227.0,5.591,6.5
tm62155,Bend of the River,MOVIE,"Two men with questionable pasts, Glyn McLyntock and his friend Cole, lead a wagon-train load of homesteaders from Missouri to the Oregon territory...",1952,PG,91,"['western', 'action', 'romance']",['US'],,tt0044413,7.3,8692.0,8.544,6.9
tm149373,Buck and the Preacher,MOVIE,A wagon master and a con-man preacher help freed slaves dogged by cheap-labor agents out West.,1972,PG,102,"['western', 'drama']",['US'],,tt0068323,6.5,1972.0,3.164,5.8
