id,title,type,description,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
ts76231,Meloholic,SHOW,"Yoo Eun-Ho has a special ability which allows him to read the minds of other people when he places his hand on them. Due to his special ability, he can't open his mind to anyone. One day, he meets Choo Ji-Eun. He is able to discern that what she says is actually what she thinks, but he also learns that she has two different personalities.",2017,,22,"['comedy', 'drama', 'romance']",['KR'],1.0,tt7521734,6.5,179.0,2.972,5.0
ts56728,Fighter of the Destiny,SHOW,"Chun Chang Sheng was abandoned in a flowing river and plucked up by a Taoist monk. He’s actually the fourth Prince of the Chen’s Royal bloodline. He’s plagued with an incurable illness, fated not to live past the age of 20. To find a cure, he leaves his temple, armed with a promise of marriage scroll, to become a student at a famous academy. He meets Xu You Rong and they slowly fall in love after hopping through the trials and tribulations of his journey .",2017,TV-14,45,"['scifi', 'fantasy', 'animation']",['CN'],1.0,tt6283378,6.9,142.0,11.047,8.7
tm323971,The Thousand Faces of Dunjia,MOVIE,"The world is on the brink of catastrophe in a chaotic age where evil demons roam. In order to keep evil at bay, a mysterious organisation from the pugilist world emerges. A new constable and a young girl with a mysterious past are also drawn into this group, and the group embarks on an incredible adventure.",2017,,113,"['fantasy', 'action']","['CN', 'HK']",,tt6814080,5.4,1269.0,9.427,5.9
tm356229,The Swindlers,MOVIE,"A group of swindlers unite to hunt down an infamous con man who was known dead, amid their hidden motives and deception.",2017,,117,"['crime', 'action', 'thriller']",['KR'],,tt7243686,6.6,1950.0,5.654,6.8
ts76389,Delicious Destiny,SHOW,"Li Yu Zhe is a Western cuisine chef who is obsessed with gourmet food. When he participates in a TV cooking program, he meets the playwright-director Song Jia Ming who has an amazing sense of taste. The two quarrel a lot at first, but soon they’re attracted to each other.",2017,,45,['drama'],['CN'],1.0,tt8015834,7.7,20.0,9.342,8.0
tm305082,Closest Love to Heaven,MOVIE,"Nino is a quiet outcast with only a bird for a friend. Kira is a popular boy with a big secret. Even though they live next to each other, they have never spoken. But when Nino learns Kira's secret, everything begins to change, and what starts as a hesitant friendship grows into something more… but how long can it last?",2017,,109,"['drama', 'comedy', 'romance']",['JP'],,tt5874398,6.3,674.0,18.435,7.8
ts82521,Time,SHOW,"For a man who was born with a silver spoon in his mouth, the suffering and hardships others go through every day are not something he can relate to. One day, he unexpectedly becomes involved in a murder incident. He meets a woman who is trapped in time by what happened. He is drawn to her, feeling responsible and guilt for what he had done. Before he can even realize, his feelings towards her grow. He struggles to find the truth so that he can allow himself to love her.",2018,,29,"['drama', 'history', 'romance', 'documentation']",['KR'],1.0,tt4517806,7.1,144.0,4.686,8.0
ts82522,Witch's Love,SHOW,"In plain sight in bustling Seoul, three generations of witches have been living below the radar of everyone around them. Kang Cho Hong  operates a restaurant with her fellow witches, Maeng Ye Soon and Jo Aeng Doo. They try to keep a low profile, but Cho Hong’s youthful good looks attracts the attention of a neighborhood guy, Hwang Jae Wook, who is constantly trying to get close to her. Cho Hong and her fellow witches’ quiet lives become complicated when their building landlord, Ma Sung Tae, shows up one day. Sung Tae wants to face a traumatic incident that happened to him in that building when he was a little boy. With Sung Tae nosing around their business on a regular basis, can Cho Hong keep her true identity a secret from him?",2018,,52,"['scifi', 'comedy', 'drama', 'romance']",['KR'],1.0,tt8689936,7.1,299.0,6.802,8.2
ts57071,Princess Agents,SHOW,"During the Warring Period, the Western Wei enslaved large numbers of civilians. The slave girl, Chu Qiao, is thrown into a forest along with other slaves and becomes the next hunting target for the rich lords. She is saved by the Prince of Northern Wei, Yan Xun. Afterwards, she is brought into a powerful family of Yuwen and witnesses their bloody power struggle. Seeing this, she swears to take her younger sister and flee from the situation. However, she catches the attention of Yuwen Yue, and undergoes strict training while building a sense of companionship with Yan Xun. Unfortunately, Western Wei goes into battle and Yan Xun’s family is slaughtered. After that incident, Yan Xun grows ambitious and cruel to avenge for the things and the people he lost. He doubts Chu Qiao and takes advantages of her loyalty and love many times, disregarding their relationship as well as the sacrifices he will have to make for power. Disappointed with the man she once loved, Chu Qiao eventually breaks off her relationship with Yan Xun and chooses to fight with Yuwen Yue, destroying Yan Xun’s plans of vengeance. She eventually convinces Yuwen to free the country from slavery, becoming a successful military strategist/female general in the people’s hearts.",2017,,46,"['drama', 'action', 'romance', 'war']",['CN'],1.0,tt6978870,7.4,871.0,27.659,7.4
ts82894,Lovely Horribly,SHOW,"Philip and Eul Soon are bound by an unusual fate: one’s happiness always results in the other’s misfortune. The two start writing a drama together, and the events in the screenplay mysteriously begin occurring in real life.",2018,,41,"['drama', 'romance', 'comedy', 'horror']",['KR'],1.0,tt8628658,6.4,287.0,5.765,7.6
