id,title,type,description,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
tm849664,Angels Fallen,MOVIE,"After the tragic loss of his wife battling the forces of darkness, Gabriel is persuaded to rejoin his former team of demon hunters traveling from relatively obscurity in America to the deep unknown regions of Europe. He is joined by his estranged best friend Michael who harbors a dark secret, the mystical Hannah whose visions predict the future, and a motley crew of demon slayers. After losing part of his team Gabriel must confront his tragic past and decide who really is friend or foe.",2020,,86,"['horror', 'fantasy', 'scifi']",['US'],,tt5759590,2.9,1397.0,9.503,5.6
tm550116,Assassinaut,MOVIE,A team of four teenage astronauts brave the alien wilderness of a distant planet to save the Earth's President from a deadly assassin.,2019,,83,['scifi'],['US'],,tt5300154,4.0,983.0,3.307,4.8
tm979896,Playhouse,MOVIE,"Reckless Jack Travis is an irreverent horror writer notorious for scaring audiences. But as he obsesses over creating a new theatre show set in a haunted Scottish castle, demonic disturbances from deep within the walls begin to prey on his troubled daughter. When the alarming supernatural forces start to close in on him too, Jack is forced to reckon with the terrifying consequences of creating such a dark and macabre play. But will he realise the danger of unearthing a historic curse and stop writing before he damns himself, his personal sanity and those he loves forever?",2020,R,87,['thriller'],['GB'],,,,,39.659,5.5
tm921614,Tom of Your Life,MOVIE,"When a child is born at a rural hospital who ages, grows and evolves four years every hour, a rebellious nurse takes him on the road to show him what life is all about on the one day he’ll have to live it.",2020,,92,['drama'],[],,tt7271364,5.0,229.0,3.308,5.2
tm834979,No Such Thing As Monsters,MOVIE,A young couple on a romantic weekend in the Australian bush are terrorised by a psychopathic family.,2019,,89,['horror'],['AU'],,tt9005542,3.9,320.0,2.26,4.3
tm879853,Transference: Escape the Dark,MOVIE,"Joshua must protect his twin sister, Emma, who possesses supernatural abilities and keep her safe from an unstoppable secret agent hunting them for an experiment in a classified government program.",2020,,88,"['scifi', 'action']",['CA'],,tt7159566,5.2,1859.0,3.247,3.7
tm676016,School of the Damned,MOVIE,"When a new teacher arrives at school he finds students that are extremely well behaved and soon uncovers a special class of very young children forming a hive mind, keeping the students and teachers calm and focused with murderous results.",2019,,85,"['horror', 'thriller']",['GB'],,tt10147936,3.0,332.0,2.001,4.0
tm849277,Lake Artifact,MOVIE,"Five friends go on a weekend getaway to a cabin in Upstate New York, where time and space begins to function without reason, only to slowly turn them against each other one by one.",2019,PG-13,96,"['scifi', 'comedy', 'horror', 'thriller']",['US'],,tt9080288,4.3,438.0,2.838,3.7
tm1127457,Driven,MOVIE,"Emerson Graham's nights as a cab driver are filled with annoyances and inconveniences, but until tonight, never attacks and disappearances. After picking up a mysterious passenger her evening goes from working a job to performing a quest as they must race against the clock to defeat a force of evil. The meter is running.",2019,,89,"['thriller', 'horror', 'comedy']","['PR', 'GB', 'US']",,tt7692822,5.4,3424.0,2.899,4.3
tm831246,The Mercenary,MOVIE,"Maxx is a legionnaire turned mercenary. When a mission in South America goes wrong Maxx is left for dead, but he is nursed back to health and reborn with a new outlook on life. He tries to live tranquilly within the confines of his new beliefs surrounded by his new friends at a church. But his peaceful days are short-lived when mercenaries he used to work with cross his path again and he is forced to revisit and face his own demons. His brutal past, war and violence have come looking for him again. His path to redemption is interrupted and Maxx becomes an avenging warrior using the skills that were his trade",2019,,91,['action'],['US'],,tt8408218,5.4,2107.0,3.67,5.8
tm839007,Motel Acacia,MOVIE,"In the cold west, Motel Acacia is tasked with exterminating immigrants by the government through a BED, haunted with the spirit of a Filipino tree demon, that eats men and impregnates women. A young Filipino man, JC, is groomed by his tyrannical caucasian Father to take over the business.",2020,R,87,['horror'],"['TH', 'MY', 'PH', 'SG', 'SI', 'TW']",,tt9461104,3.5,258.0,2.162,3.3
tm679250,A Killer Next Door,MOVIE,A young girl begins to suspect that her neighbor on a quiet suburban street is fugitive family killer John List.,2020,,90,['thriller'],['GB'],,tt10293308,3.1,549.0,2.471,3.0
tm1113684,Alien Armageddon,MOVIE,"A nefarious enemy, hidden from humanity for millennia, has been secretly controlling not only mankind's progression, but the Earth's as well. They are a malevolent Reptilian species from another solar system with one goal in mind - to groom humans for their own sinister needs. Over the centuries humans have been genetically modified by way of abductions and environmen... Read all",2020,,67,[],['US'],,tt13097436,,,,
tm431874,Any Bullet Will Do,MOVIE,"Taking place during 1876 in Montana, a ruthless headhunter tracks his own Brother through Big Sky country with the help of a young fur trapper.",2019,,110,"['western', 'action']",['US'],,tt6102314,4.8,443.0,2.805,3.8
tm466993,Between the Darkness,MOVIE,"Thirteen-year-old Sprout Grady grows convinced that a monster is haunting the nearby woods. Embarking on a mission to vanquish it, she uncovers horrifying secrets that rock the core of everything she thought she knew.",2019,,98,"['thriller', 'horror']",['US'],,tt6214476,4.3,175.0,1.877,2.8
tm880600,Doll House,MOVIE,"Doll House is the story of an 11-year-old runaway who arrives at a care home with her only possession a dolls house. She refuses to speak and won’t ever let go of her doll. The other children tease her. People start to disappear and seem to appear as tiny dolls inside the doll house. An evil entity haunts the doll and doll house and is collecting the souls of the children for its ultimate cause, to be alive.",2020,R,85,"['horror', 'drama', 'thriller']",['GB'],,,,,2.287,5.3
